assembly_accession	access_url
GCA_000688575.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Cavia_aperea__Brazilian_guinea_pig__cavApe1__GCA_000688575.1/query_annotation.gff.gz
GCA_000765075.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Capra_aegagrus__wild_goat__HLcapAeg1__GCA_000765075.1/query_annotation.gff.gz
GCA_000767525.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Vicugna_pacos_huacaya__alpaca__HLvicPacHua3__GCA_000767525.1/query_annotation.gff.gz
GCA_000767855.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Camelus_bactrianus__Bactrian_camel__HLcamBac1__GCA_000767855.1/query_annotation.gff.gz
GCA_000772465.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Nasalis_larvatus__proboscis_monkey__nasLar1__GCA_000772465.1/query_annotation.gff.gz
GCA_000803125.3	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Camelus_dromedarius__Arabian_camel__HLcamDro2__GCA_000803125.3/query_annotation.gff.gz
GCA_000978805.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Balaenoptera_bonaerensis__Antarctic_minke_whale__HLbalBon1__GCA_000978805.1/query_annotation.gff.gz
GCA_001262655.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Eulemur_macaco__black_lemur__eulMac1__GCA_001262655.1/query_annotation.gff.gz
GCA_001458135.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Marmota_marmota_marmota__Alpine_marmot__HLmarMar1__GCA_001458135.1/query_annotation.gff.gz
GCA_001595765.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Miniopterus_natalensis__Natal_long-fingered_bat__HLminNat1__GCA_001595765.1/query_annotation.gff.gz
GCA_001651235.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Giraffa_tippelskirchi__Masai_giraffe__HLgirTip1__GCA_001651235.1/query_annotation.gff.gz
GCA_001675575.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Neotoma_lepida__desert_woodrat__HLneoLep1__GCA_001675575.1/query_annotation.gff.gz
GCA_001685075.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Bramus_lutescens__Transcaucasian_mole_vole__HLellLut1__GCA_001685075.1/query_annotation.gff.gz
GCA_001685095.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Ellobius_talpinus__Northern_mole_vole__HLellTal1__GCA_001685095.1/query_annotation.gff.gz
GCA_001704415.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Capra_hircus__goat__HLcapHir2__GCA_001704415.1/query_annotation.gff.gz
GCA_001888835.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Rhinolophus_sinicus__Chinese_rufous_horseshoe_bat__HLrhiSin1__GCA_001888835.1/query_annotation.gff.gz
GCA_001890085.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Hipposideros_armiger__great_roundleaf_bat__HLhipArm1__GCA_001890085.1/query_annotation.gff.gz
GCA_001984765.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Castor_canadensis__American_beaver__HLcasCana5__GCA_001984765.2/query_annotation.gff.gz
GCA_002007445.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Ailuropoda_melanoleuca__giant_panda__HLailMel2__GCA_002007445.2/query_annotation.gff.gz
GCA_002197005.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Cervus_elaphus_hippelaphus__Red_deer__HLcerElapHip3__GCA_002197005.1/query_annotation.gff.gz
GCA_002201775.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Ammotragus_lervia__aoudad__HLammLer1__GCA_002201775.1/query_annotation.gff.gz
GCA_002215935.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Psammomys_obesus__fat_sand_rat__HLpsaObe1__GCA_002215935.2/query_annotation.gff.gz
GCA_002288925.3	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Delphinapterus_leucas__beluga_whale__HLdelLeu2__GCA_002288925.3/query_annotation.gff.gz
GCA_002406435.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Spermophilus_dauricus__Daurian_ground_squirrel__HLspeDau1__GCA_002406435.1/query_annotation.gff.gz
GCA_002443075.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Elaphurus_davidianus__Pere_Davids_deer__HLelaDav1__GCA_002443075.1/query_annotation.gff.gz
GCA_002776525.3	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Piliocolobus_tephrosceles__Ugandan_red_Colobus__HLpilTep2__GCA_002776525.3/query_annotation.gff.gz
GCA_002837175.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Physeter_macrocephalus__sperm_whale__HLphyCat2__GCA_002837175.2/query_annotation.gff.gz
GCA_002844835.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Dicerorhinus_sumatrensis_sumatrensis__Sumatran_rhinoceros__HLdicSum1__GCA_002844835.1/query_annotation.gff.gz
GCA_002933975.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Bos_indicus__zebu_cattle__HLbosInd2__GCA_002933975.1/query_annotation.gff.gz
GCA_003009895.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Hyaena_hyaena__striped_hyena__HLhyaHya1__GCA_003009895.1/query_annotation.gff.gz
GCA_003033725.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Equus_asinus_asinus__ass__HLequAsiAsi2__GCA_003033725.1/query_annotation.gff.gz
GCA_003121395.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Bubalus_bubalis__water_buffalo__HLbubBub2__GCA_003121395.1/query_annotation.gff.gz
GCA_003121645.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Ovis_ammon__argali__HLoviAmm1__GCA_003121645.1/query_annotation.gff.gz
GCA_003182575.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Pseudois_nayaur__Bharal__HLpseNaya1__GCA_003182575.1/query_annotation.gff.gz
GCA_003182615.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Capra_sibirica__Siberian_ibex__HLcapSib1__GCA_003182615.2/query_annotation.gff.gz
GCA_003255815.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Theropithecus_gelada__gelada__HLtheGel1__GCA_003255815.1/query_annotation.gff.gz
GCA_003258685.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Prolemur_simus__greater_bamboo_lemur__HLproSim1__GCA_003258685.1/query_annotation.gff.gz
GCA_003265705.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Callorhinus_ursinus__northern_fur_seal__HLcalUrs1__GCA_003265705.1/query_annotation.gff.gz
GCA_003287225.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Phascolarctos_cinereus__Koala__HLphaCine3__GCA_003287225.2/query_annotation.gff.gz
