assembly_accession	access_url
GCA_949124755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/124/755/GCA_949124755.1_BBM_1a.nuclear_genome.ScRAP/GCA_949124755.1_BBM_1a.nuclear_genome.ScRAP_genomic.gff.gz
GCA_024760925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/760/925/GCA_024760925.1_ASM2476092v1/GCA_024760925.1_ASM2476092v1_genomic.gff.gz
GCF_015586225.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/586/225/GCF_015586225.1_ASM1558622v1/GCF_015586225.1_ASM1558622v1_genomic.gff.gz
GCA_030270465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/270/465/GCA_030270465.1_ASM3027046v1/GCA_030270465.1_ASM3027046v1_genomic.gff.gz
GCA_965378785.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Epinotia_trigonella/GCA_965378785.1/ensembl/geneset/2025_09/genes.gff3.gz
GCA_018389105.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Nautilus_pompilius/GCA_018389105.1/ensembl/geneset/2024_11/genes.gff3.gz
GCA_030522415.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Channallabes_apus/GCA_030522415.1/ensembl/geneset/2024_05/genes.gff3.gz
GCA_001431845.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Calidris_pugnax/GCA_001431845.1/ensembl/geneset/2018_12/genes.gff3.gz
GCA_932294285.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Chloroclysta_siterata/GCA_932294285.1/ensembl/geneset/2022_06/genes.gff3.gz
GCF_000340665.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/665/GCF_000340665.2_C.cajan_V1.1/GCF_000340665.2_C.cajan_V1.1_genomic.gff.gz
GCA_043157545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/157/545/GCA_043157545.1_ASM4315754v1/GCA_043157545.1_ASM4315754v1_genomic.gff.gz
GCF_002162155.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/162/155/GCF_002162155.2_WEW_v2.1/GCF_002162155.2_WEW_v2.1_genomic.gff.gz
GCA_042035195.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Homo_sapiens/GCA_042035195.1/ensembl/geneset/2024_10/genes.gff3.gz
GCA_001640025.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/640/025/GCA_001640025.2_ASM164002v2/GCA_001640025.2_ASM164002v2_genomic.gff.gz
GCF_003851025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/851/025/GCF_003851025.1_SCP_1.1/GCF_003851025.1_SCP_1.1_genomic.gff.gz
GCA_042036505.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Homo_sapiens/GCA_042036505.1/ensembl/geneset/2024_10/genes.gff3.gz
GCF_010416935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/416/935/GCF_010416935.1_CU_Pfus_HIC/GCF_010416935.1_CU_Pfus_HIC_genomic.gff.gz
GCA_000701005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/701/005/GCA_000701005.1_Tsuis_adult_male_v1.0/GCA_000701005.1_Tsuis_adult_male_v1.0_genomic.gff.gz
GCA_905333045.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Lysandra_bellargus/GCA_905333045.1/ensembl/geneset/2021_11/genes.gff3.gz
GCA_015849295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/849/295/GCA_015849295.1_UCR_MrenMES-2147_1.0/GCA_015849295.1_UCR_MrenMES-2147_1.0_genomic.gff.gz
GCF_030179905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/179/905/GCF_030179905.1_DbipHiC1v2/GCF_030179905.1_DbipHiC1v2_genomic.gff.gz
GCF_028554725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/554/725/GCF_028554725.1_idZeuCucr1.2/GCF_028554725.1_idZeuCucr1.2_genomic.gff.gz
GCA_000775465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/775/465/GCA_000775465.1_Cand_albi_P34048_V1/GCA_000775465.1_Cand_albi_P34048_V1_genomic.gff.gz
GCA_964271835.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Erebia_embla/GCA_964271835.1/ensembl/geneset/2025_07/genes.gff3.gz
GCA_963675445.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Linnaemya_vulpina/GCA_963675445.1/ensembl/geneset/2024_05/genes.gff3.gz
GCA_027600665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/600/665/GCA_027600665.1_ASM2760066v1/GCA_027600665.1_ASM2760066v1_genomic.gff.gz
GCA_001876935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/876/935/GCA_001876935.1_Aspof.V1/GCA_001876935.1_Aspof.V1_genomic.gff.gz
GCA_000004075.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/075/GCA_000004075.3_Cucumber_9930_V3/GCA_000004075.3_Cucumber_9930_V3_genomic.gff.gz
GCA_056869285.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/056/869/285/GCA_056869285.1_ASM5686928v1/GCA_056869285.1_ASM5686928v1_genomic.gff.gz
GCA_949783545.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Hordeum_vulgare/GCA_949783545.1/community/geneset/2025_06/genes.gff3.gz
GCA_031841145.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/841/145/GCA_031841145.2_IscGN/GCA_031841145.2_IscGN_genomic.gff.gz
GCA_018466805.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Hippocampus_abdominalis/GCA_018466805.1/ensembl/geneset/2024_05/genes.gff3.gz
